,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
5,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000,3583.22325
14,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000,3542.056075
23,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000,3700.109649
32,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000,3750.66859
41,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000,2847.559351
50,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000,3749.485644
57,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000,4134.977016
77,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Coconut ,14560,71300000,4896.978022
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779,31863,2.956025605
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Coconut ,6992,23900000,3418.19222
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718,27033,2.781745215
94,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,7015,25250000,3599.429793
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62,2.771343536
103,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,3575,15400000,4307.692308
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118,2.962450302
127,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,3668,12700000,3462.377317
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82,2.954507377
134,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,7060,26830000,3800.283286
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7,2.926978496
144,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,7110,26660000,3749.648383
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66,2.726054533
154,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,7156.7,34750000,4855.589867
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98,2.979367481
164,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,7050.45,26430000,3748.696892
177,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,3483.09,14190000,4073.968804
201,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,3540,11000000,3107.344633
208,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800,228400,0.350952674
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400,2.117977528
217,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900,104.1428571
222,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200,21700,1.074257426
228,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300,2.072222222
236,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200,867800,1.149099576
244,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800,2.527415144
247,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200,25900,0.988549618
248,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900,35800,1.382239382
250,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800,22100,1.493243243
253,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900,2.402255639
256,Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900,94.14285714
261,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,694865,249457,0.359000669
268,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082,2.765970888
273,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,21785,25358,1.164011935
275,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Jowar,21487,30576,1.422999953
281,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258,45669,2.254368644
286,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Onion,1770,32364,18.28474576
287,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Sugarcane,884,83126,94.03393665
294,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Groundnut,791559,884963,1.118000048
304,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,39905,117680,2.949003884
308,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sunflower,30606,24590,0.803437235
313,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Gram,33858,22685,0.670004135
314,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Groundnut,23048,23832,1.034015967
322,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Rice,22099,57236,2.589981447
329,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Coconut ,908,3896970,4291.817181
332,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Sugarcane,284,25395,89.41901408
342,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Groundnut,758700,333828,0.44
348,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Onion,1165,19232,16.50815451
351,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Rice,32878,95609,2.907993187
353,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Sunflower,51610,33580,0.650649099
358,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Gram,47894,50145,1.046999624
359,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Groundnut,18773,29192,1.554999201
361,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Jowar,15170,17446,1.15003296
368,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Rice,38119,108906,2.857000446
375,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Coconut ,851,3053700,3588.366627
377,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Sugarcane,490,42470,86.67346939
