,Crop,Crop_Year,Area,Production
0,Apple,2002,4,0
1,Apple,2003,5,0
2,Arcanut (Processed),2002,144116,192831
3,Arecanut,1997,260686,308584
4,Arecanut,1998,264033,797811
5,Arecanut,1999,172792,162025
6,Arecanut,2000,303328,352915
7,Arecanut,2001,327572,374014
8,Arecanut,2002,189845,188610
9,Arecanut,2003,355772,420955
10,Arecanut,2004,281066.37,340328.05
11,Arecanut,2005,370899.45,1277409.46
12,Arecanut,2006,386009,530004.3
13,Arecanut,2007,357428,1318525
14,Arecanut,2008,378137,1414459
15,Arecanut,2009,383463,1459169
16,Arecanut,2010,399306.5,2479449.51
17,Arecanut,2011,411994.36,1970679.34
18,Arecanut,2012,407082,2007355
19,Arecanut,2013,411642,2622235
20,Arecanut,2014,350957,2335987
21,Arhar/Tur,1997,3325278,1693632
22,Arhar/Tur,1998,3192175,2556835
23,Arhar/Tur,1999,2964028,2505467
24,Arhar/Tur,2000,3626302,2254687
25,Arhar/Tur,2001,3304429,2246633.1
26,Arhar/Tur,2002,2963889.15,1799398.47
27,Arhar/Tur,2003,3439893.06,2325382.12
28,Arhar/Tur,2004,2912104.08,1847878.11
29,Arhar/Tur,2005,2875328.46,2089618.83
30,Arhar/Tur,2006,3297134.83,2144992
31,Arhar/Tur,2007,2287957.63,1763406
32,Arhar/Tur,2008,3113224,2064721.1
33,Arhar/Tur,2009,3221594,2231423
34,Arhar/Tur,2010,4289565,2717502.6
35,Arhar/Tur,2011,3752892,2450786
36,Arhar/Tur,2012,3220916,2625573
37,Arhar/Tur,2013,3289170,2756819
38,Arhar/Tur,2014,2715656,1293050
39,Ash Gourd,2002,744,0
40,Ash Gourd,2003,900,0
41,Atcanut (Raw),2002,144116,927250
42,Bajra,1997,9527424,7622765
43,Bajra,1998,9330295,7064138
44,Bajra,1999,8892668,5786557.7
45,Bajra,2000,9912134,6904935.2
46,Bajra,2001,9513740,8266184
47,Bajra,2002,7736866,4715038.3
48,Bajra,2003,10663550,12061108
49,Bajra,2004,9326100,8052734
50,Bajra,2005,9676568,7119289.8
51,Bajra,2006,9499237,8335264
52,Bajra,2007,8339105,8858604.2
53,Bajra,2008,8774882,8902295
54,Bajra,2009,8972422,6520225
55,Bajra,2010,9607246,12271627
56,Bajra,2011,3752948,6075554
57,Bajra,2012,3231616,4878124
58,Bajra,2013,2273701,3605409
59,Bajra,2014,2110302,2658279.8
60,Banana,1997,216302,8577683
61,Banana,1998,191319,6246379
62,Banana,1999,237692,5786745
63,Banana,2000,299425,6617109
64,Banana,2001,208732,4214875
65,Banana,2002,299715,6371622
66,Banana,2003,367239,10951296
67,Banana,2004,284571.52,7780753.52
68,Banana,2005,348902.8,9756891.13
69,Banana,2006,358134.57,11397092
70,Banana,2007,335154,10243434
71,Banana,2008,376387,11215143
72,Banana,2009,417236,12052141
73,Banana,2010,319391.14,7453608.4
74,Banana,2011,396924.4,12649783.59
75,Banana,2012,164771,4137123
76,Banana,2013,299602,8953555
77,Banana,2014,128130,1754578
78,Barley,1997,772715,1586845
79,Barley,1998,735384,1476976
80,Barley,1999,661416,1384460.6
81,Barley,2000,764003,1418351
82,Barley,2001,655028,1417982
83,Barley,2002,664523,1378805.1
84,Barley,2003,653910.82,1305483.28
85,Barley,2004,602355.57,1175090.24
86,Barley,2005,614672,1184682.7
87,Barley,2006,556516,1247945
88,Barley,2007,604089,1199132
89,Barley,2008,685198,1672582.2
90,Barley,2009,565424,1310808
91,Barley,2010,677806,1693660
92,Barley,2011,325548,780770
93,Barley,2012,347179,820879
94,Barley,2013,301480,700352.3
95,Barley,2014,220420,372621.5
96,Barley,2015,447,472
97,Bean,2013,2320,3080
98,Bean,2014,2330,3160
