,Crop_Year,Season,Crop,Area,Production
0,1997,Autumn     ,Arhar/Tur,25621,6487
1,1997,Autumn     ,Groundnut,37462,34433
2,1997,Autumn     ,Jute,92010,123210
3,1997,Autumn     ,Maize,51370,83026
4,1997,Autumn     ,Paddy,827162,812852
5,1997,Autumn     ,Ragi,54594,42215
6,1997,Autumn     ,Rice,1589160,1906333
7,1997,Autumn     ,Sesamum,7286,1626
8,1997,Autumn     ,Urad,32111,8536
9,1997,Kharif     ,Arhar/Tur,3019062,1608325
10,1997,Kharif     ,Bajra,9178210,7029733
11,1997,Kharif     ,Banana,86449,2762324
12,1997,Kharif     ,Black pepper,3825,924
13,1997,Kharif     ,Castor seed,219072,116008
14,1997,Kharif     ,Coconut ,15,40
15,1997,Kharif     ,Cotton(lint),2097283,3108234
16,1997,Kharif     ,Dry chillies,323079,396706
17,1997,Kharif     ,Dry ginger,11544,50807
18,1997,Kharif     ,Gram,776100,340900
19,1997,Kharif     ,Groundnut,4884049,4443849
20,1997,Kharif     ,Horse-gram,288506,132460
21,1997,Kharif     ,Jowar,4762204,4844803
22,1997,Kharif     ,Jute,887690,9814775
23,1997,Kharif     ,Kapas,967,429
24,1997,Kharif     ,Korra,29900,19100
25,1997,Kharif     ,Linseed,50,22
26,1997,Kharif     ,Maize,4561352,7473616
27,1997,Kharif     ,Mesta,125033,830152
28,1997,Kharif     ,Moong(Green Gram),1138479,412349
29,1997,Kharif     ,Moth,48716,24216
30,1997,Kharif     ,Niger seed,384,243
31,1997,Kharif     ,Oilseeds total,916298,563081
32,1997,Kharif     ,Onion,76634,622828
33,1997,Kharif     ,Other Kharif pulses,94654,72625
34,1997,Kharif     ,Paddy,3066430,5039539
35,1997,Kharif     ,Peas & beans (Pulses),233,272
36,1997,Kharif     ,Pulses total,24342,8439
37,1997,Kharif     ,Ragi,1137721,1428682
38,1997,Kharif     ,Rapeseed &Mustard,374,440
39,1997,Kharif     ,Rice,14208199,32723519
40,1997,Kharif     ,Samai,29500,12700
41,1997,Kharif     ,Sesamum,682979,166065
42,1997,Kharif     ,Small millets,664993,243628
43,1997,Kharif     ,Soyabean,4949711,5475933
44,1997,Kharif     ,Sugarcane,436437,16932950
45,1997,Kharif     ,Sunflower,277354,132727
46,1997,Kharif     ,Tobacco,207892,210969
47,1997,Kharif     ,Total foodgrain,15332124,30740079
48,1997,Kharif     ,Urad,1134405,495830
49,1997,Rabi       ,Arhar/Tur,3500,1400
50,1997,Rabi       ,Barley,766599,1581811
51,1997,Rabi       ,Castor seed,30,15
52,1997,Rabi       ,Dry chillies,59165,109795
53,1997,Rabi       ,Gram,3803184,3195902
54,1997,Rabi       ,Groundnut,514308,605078
55,1997,Rabi       ,Horse-gram,253673,119772
56,1997,Rabi       ,Jowar,5549972,2437473
57,1997,Rabi       ,Khesari,25261,28460
58,1997,Rabi       ,Korra,100,100
59,1997,Rabi       ,Linseed,411716,154992
60,1997,Rabi       ,Maize,366794,1000334
61,1997,Rabi       ,Masoor,544987,391681
62,1997,Rabi       ,Moong(Green Gram),140269,54910
63,1997,Rabi       ,Oilseeds total,50808100,38657300
64,1997,Rabi       ,Other  Rabi pulses,247790,151786
65,1997,Rabi       ,Paddy,53889,163930
66,1997,Rabi       ,Peas & beans (Pulses),425007,494378
67,1997,Rabi       ,Pulses total,3217,2464
68,1997,Rabi       ,Ragi,41704,55596
69,1997,Rabi       ,Rapeseed &Mustard,5032567,3544122
70,1997,Rabi       ,Rice,1178206,3420352
71,1997,Rabi       ,Safflower,423,266
72,1997,Rabi       ,Sesamum,83200,8800
73,1997,Rabi       ,Small millets,3000,200
74,1997,Rabi       ,Sugarcane,681,15806
75,1997,Rabi       ,Sunflower,155713,99444
76,1997,Rabi       ,Tobacco,21665,15672
77,1997,Rabi       ,Urad,429694,201253
78,1997,Rabi       ,Varagu,2500,1600
79,1997,Rabi       ,Wheat,25640826,63831633
80,1997,Summer     ,Arhar/Tur,86559,16414
81,1997,Summer     ,Bajra,180620,381062
82,1997,Summer     ,Groundnut,139629,211015
83,1997,Summer     ,Horse-gram,952,253
84,1997,Summer     ,Jowar,6137,15135
85,1997,Summer     ,Maize,171140,355612
86,1997,Summer     ,Moong(Green Gram),96266,36965
87,1997,Summer     ,Paddy,503808,1597150
88,1997,Summer     ,Ragi,14124,25464
89,1997,Summer     ,Rice,1774289,4782163
90,1997,Summer     ,Sesamum,16106,4065
91,1997,Summer     ,Urad,72617,33690
92,1997,Whole Year ,Arecanut,260686,308584
93,1997,Whole Year ,Arhar/Tur,73983,37701
94,1997,Whole Year ,Bajra,168594,211970
95,1997,Whole Year ,Banana,129853,5815359
96,1997,Whole Year ,Barley,6116,5034
97,1997,Whole Year ,Black pepper,177301,56280
98,1997,Whole Year ,Cardamom,29168,1701
99,1997,Whole Year ,Cashewnut,178834,93512
100,1997,Whole Year ,Castor seed,363471,668476
101,1997,Whole Year ,Coconut ,1064214,6344102
102,1997,Whole Year ,Coriander,57930,13169
103,1997,Whole Year ,Cotton(lint),3132970,7335290
104,1997,Whole Year ,Dry chillies,154286,112263
