,State_Name,District_Name,Crop,Area,Production
0,Andaman and Nicobar Islands,NICOBARS,Arecanut,8927.37,10919.45
1,Andaman and Nicobar Islands,NICOBARS,Banana,1534.42,9069.12
2,Andaman and Nicobar Islands,NICOBARS,Black pepper,309.66,54.5
3,Andaman and Nicobar Islands,NICOBARS,Cashewnut,5459,1372.83
4,Andaman and Nicobar Islands,NICOBARS,Coconut ,134072.01,500680000
5,Andaman and Nicobar Islands,NICOBARS,Dry chillies,565,667
6,Andaman and Nicobar Islands,NICOBARS,Dry ginger,362.3,1056.04
7,Andaman and Nicobar Islands,NICOBARS,Maize,3.84,18.22
8,Andaman and Nicobar Islands,NICOBARS,Moong(Green Gram),1.5,1.1
9,Andaman and Nicobar Islands,NICOBARS,Other Kharif pulses,4,2
10,Andaman and Nicobar Islands,NICOBARS,Rice,484.73,1316.64
11,Andaman and Nicobar Islands,NICOBARS,Sugarcane,20.6,85.25
12,Andaman and Nicobar Islands,NICOBARS,Sweet potato,56,342
13,Andaman and Nicobar Islands,NICOBARS,Tapioca,161.03,1194
14,Andaman and Nicobar Islands,NICOBARS,Turmeric,14.5,71.53
15,Andaman and Nicobar Islands,NICOBARS,Urad,1.5,1.16
16,Andaman and Nicobar Islands,NICOBARS,other oilseeds,5.2,0.41
17,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut,8656,15740.7
18,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arhar/Tur,294.5,90.8
19,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Banana,3145.57,28623
20,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Black pepper,343,204.64
21,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Cashewnut,286,170
22,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Coconut ,21250,77250000
23,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry chillies,489.72,1226.3
24,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dry ginger,904.66,4184.84
25,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Groundnut,4.75,6.8
26,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Maize,86.7,96.4
27,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Moong(Green Gram),1168.6,556.55
28,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Other Kharif pulses,1086,647
29,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice,34142.3,98009.62
30,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,366.63,8504.2
